============================================================
GEOCK v2 - NEURAL NETWORK v2 (Chunked + LR Scheduling)
============================================================

[1] Loading MERGED data (39K samples)...
  39109 samples, 512 features
  Data scaled. Feature range: [-2.501, 9.048]

[2] 5-Fold CV with Chunked NN + LR Scheduling...
    (ReduceLROnPlateau: LR reduces when improvement stalls)
     Patience: 10 epochs for LR, 30 epochs for early stopping
============================================================
Using device: cpu


============================================================
FOLD 1/5
============================================================
Epoch  77/150 | Train: 0.5774 | Val: 0.6419 | R²: 0.8094 | LR: 0.001000
Epoch  78/150 | Train: 0.5731 | Val: 0.6351 | R²: 0.8123 | LR: 0.001000
Epoch  79/150 | Train: 0.5640 | Val: 0.6385 | R²: 0.8101 | LR: 0.001000
Epoch  80/150 | Train: 0.5662 | Val: 0.6327 | R²: 0.8111 | LR: 0.001000
Epoch  81/150 | Train: 0.5585 | Val: 0.6467 | R²: 0.8098 | LR: 0.001000
Epoch  82/150 | Train: 0.5600 | Val: 0.6283 | R²: 0.8123 | LR: 0.001000
Epoch  83/150 | Train: 0.5602 | Val: 0.6279 | R²: 0.8121 | LR: 0.001000
Epoch  84/150 | Train: 0.5496 | Val: 0.6304 | R²: 0.8116 | LR: 0.001000
Epoch  85/150 | Train: 0.5458 | Val: 0.6315 | R²: 0.8121 | LR: 0.001000
Epoch  86/150 | Train: 0.5546 | Val: 0.6403 | R²: 0.8109 | LR: 0.001000
Epoch  87/150 | Train: 0.5426 | Val: 0.6257 | R²: 0.8127 | LR: 0.001000
Epoch  88/150 | Train: 0.5432 | Val: 0.6346 | R²: 0.8106 | LR: 0.001000
Epoch  89/150 | Train: 0.5491 | Val: 0.6323 | R²: 0.8109 | LR: 0.001000
Epoch  90/150 | Train: 0.5434 | Val: 0.6255 | R²: 0.8134 | LR: 0.001000
Epoch  91/150 | Train: 0.5416 | Val: 0.6451 | R²: 0.8136 | LR: 0.001000
Epoch  92/150 | Train: 0.5320 | Val: 0.6229 | R²: 0.8146 | LR: 0.001000
Epoch  93/150 | Train: 0.5404 | Val: 0.6370 | R²: 0.8132 | LR: 0.001000
Epoch  94/150 | Train: 0.5295 | Val: 0.6210 | R²: 0.8140 | LR: 0.001000
Epoch  95/150 | Train: 0.5333 | Val: 0.6417 | R²: 0.8132 | LR: 0.001000
Epoch  96/150 | Train: 0.5298 | Val: 0.6386 | R²: 0.8150 | LR: 0.001000
Epoch  97/150 | Train: 0.5273 | Val: 0.6230 | R²: 0.8143 | LR: 0.001000
Epoch  98/150 | Train: 0.5322 | Val: 0.6237 | R²: 0.8130 | LR: 0.001000
Epoch  99/150 | Train: 0.5264 | Val: 0.6308 | R²: 0.8133 | LR: 0.001000
Epoch 100/150 | Train: 0.5285 | Val: 0.6202 | R²: 0.8145 | LR: 0.001000
Epoch 101/150 | Train: 0.5278 | Val: 0.6369 | R²: 0.8161 | LR: 0.001000
Epoch 102/150 | Train: 0.5230 | Val: 0.6198 | R²: 0.8143 | LR: 0.001000
Epoch 103/150 | Train: 0.5198 | Val: 0.6251 | R²: 0.8152 | LR: 0.001000
Epoch 104/150 | Train: 0.5182 | Val: 0.6185 | R²: 0.8150 | LR: 0.001000
Epoch 105/150 | Train: 0.5244 | Val: 0.6164 | R²: 0.8163 | LR: 0.001000
Epoch 106/150 | Train: 0.5093 | Val: 0.6257 | R²: 0.8146 | LR: 0.001000
Epoch 107/150 | Train: 0.5186 | Val: 0.6175 | R²: 0.8161 | LR: 0.001000
Epoch 108/150 | Train: 0.5178 | Val: 0.6111 | R²: 0.8170 | LR: 0.001000
Epoch 109/150 | Train: 0.5040 | Val: 0.6127 | R²: 0.8168 | LR: 0.001000
Epoch 110/150 | Train: 0.5061 | Val: 0.6052 | R²: 0.8188 | LR: 0.001000
Epoch 111/150 | Train: 0.4978 | Val: 0.6242 | R²: 0.8200 | LR: 0.001000
Epoch 112/150 | Train: 0.4961 | Val: 0.6223 | R²: 0.8189 | LR: 0.001000
Epoch 113/150 | Train: 0.5031 | Val: 0.6054 | R²: 0.8185 | LR: 0.001000
Epoch 114/150 | Train: 0.4947 | Val: 0.6136 | R²: 0.8183 | LR: 0.001000
Epoch 115/150 | Train: 0.4931 | Val: 0.6042 | R²: 0.8195 | LR: 0.001000
Epoch 116/150 | Train: 0.4887 | Val: 0.6024 | R²: 0.8191 | LR: 0.001000
Epoch 117/150 | Train: 0.4905 | Val: 0.6082 | R²: 0.8196 | LR: 0.001000
Epoch 118/150 | Train: 0.4835 | Val: 0.6084 | R²: 0.8186 | LR: 0.001000
Epoch 119/150 | Train: 0.4925 | Val: 0.6128 | R²: 0.8199 | LR: 0.001000
Epoch 120/150 | Train: 0.4926 | Val: 0.6012 | R²: 0.8206 | LR: 0.001000
Epoch 121/150 | Train: 0.4882 | Val: 0.6059 | R²: 0.8199 | LR: 0.001000
Epoch 122/150 | Train: 0.4801 | Val: 0.5999 | R²: 0.8214 | LR: 0.001000
Epoch 123/150 | Train: 0.4824 | Val: 0.5999 | R²: 0.8202 | LR: 0.001000
Epoch 124/150 | Train: 0.4903 | Val: 0.6027 | R²: 0.8225 | LR: 0.001000
Epoch 125/150 | Train: 0.4914 | Val: 0.6053 | R²: 0.8207 | LR: 0.001000
Epoch 126/150 | Train: 0.4901 | Val: 0.5971 | R²: 0.8210 | LR: 0.001000
Epoch 127/150 | Train: 0.4786 | Val: 0.5969 | R²: 0.8233 | LR: 0.001000
Epoch 128/150 | Train: 0.4755 | Val: 0.5984 | R²: 0.8216 | LR: 0.001000
Epoch 129/150 | Train: 0.4721 | Val: 0.6022 | R²: 0.8231 | LR: 0.001000
Epoch 130/150 | Train: 0.4789 | Val: 0.5912 | R²: 0.8234 | LR: 0.001000
Epoch 131/150 | Train: 0.4795 | Val: 0.5922 | R²: 0.8223 | LR: 0.001000
Epoch 132/150 | Train: 0.4792 | Val: 0.5892 | R²: 0.8233 | LR: 0.001000
Epoch 133/150 | Train: 0.4668 | Val: 0.5888 | R²: 0.8235 | LR: 0.001000
Epoch 134/150 | Train: 0.4750 | Val: 0.5952 | R²: 0.8215 | LR: 0.001000
Epoch 135/150 | Train: 0.4742 | Val: 0.6026 | R²: 0.8205 | LR: 0.001000
Epoch 136/150 | Train: 0.4703 | Val: 0.5952 | R²: 0.8229 | LR: 0.001000
Epoch 137/150 | Train: 0.4740 | Val: 0.5851 | R²: 0.8246 | LR: 0.001000
Epoch 138/150 | Train: 0.4740 | Val: 0.5980 | R²: 0.8229 | LR: 0.001000
Epoch 139/150 | Train: 0.4679 | Val: 0.6005 | R²: 0.8217 | LR: 0.001000
Epoch 140/150 | Train: 0.4677 | Val: 0.5965 | R²: 0.8216 | LR: 0.001000
Epoch 141/150 | Train: 0.4693 | Val: 0.5981 | R²: 0.8228 | LR: 0.001000
Epoch 142/150 | Train: 0.4707 | Val: 0.5927 | R²: 0.8236 | LR: 0.001000
Epoch 143/150 | Train: 0.4655 | Val: 0.5893 | R²: 0.8241 | LR: 0.001000
Epoch 144/150 | Train: 0.4656 | Val: 0.5882 | R²: 0.8233 | LR: 0.001000
Epoch 145/150 | Train: 0.4645 | Val: 0.5948 | R²: 0.8226 | LR: 0.001000
Epoch 146/150 | Train: 0.4709 | Val: 0.5972 | R²: 0.8221 | LR: 0.001000
Epoch 147/150 | Train: 0.4588 | Val: 0.5901 | R²: 0.8238 | LR: 0.001000
Epoch 148/150 | Train: 0.4646 | Val: 0.5909 | R²: 0.8226 | LR: 0.000500
Epoch 149/150 | Train: 0.4484 | Val: 0.5915 | R²: 0.8238 | LR: 0.000500
Epoch 150/150 | Train: 0.4509 | Val: 0.5838 | R²: 0.8248 | LR: 0.000500

Fold 1 FINAL: R² = 0.8248, R = 0.9082

============================================================
FOLD 2/5
============================================================
Epoch   1/150 | Train: 67.2505 | Val: 10.4621 | R²: 0.0000 | LR: 0.001000
Epoch   2/150 | Train: 17.4995 | Val: 5.6541 | R²: 0.0233 | LR: 0.001000
Epoch   3/150 | Train: 6.4763 | Val: 3.4938 | R²: 0.0892 | LR: 0.001000
Epoch   4/150 | Train: 4.5203 | Val: 2.5895 | R²: 0.2591 | LR: 0.001000
Epoch   5/150 | Train: 3.8016 | Val: 2.5566 | R²: 0.2677 | LR: 0.001000
Epoch   6/150 | Train: 3.3197 | Val: 2.0736 | R²: 0.3884 | LR: 0.001000
Epoch   7/150 | Train: 2.9843 | Val: 1.9589 | R²: 0.4318 | LR: 0.001000
Epoch   8/150 | Train: 2.7298 | Val: 1.9062 | R²: 0.4419 | LR: 0.001000
Epoch   9/150 | Train: 2.5218 | Val: 1.7090 | R²: 0.4947 | LR: 0.001000
Epoch  10/150 | Train: 2.3640 | Val: 1.5588 | R²: 0.5387 | LR: 0.001000
Epoch  11/150 | Train: 2.2118 | Val: 1.5257 | R²: 0.5503 | LR: 0.001000
Epoch  12/150 | Train: 2.0382 | Val: 1.4416 | R²: 0.5753 | LR: 0.001000
Epoch  13/150 | Train: 1.9343 | Val: 1.3499 | R²: 0.6058 | LR: 0.001000
Epoch  14/150 | Train: 1.8331 | Val: 1.3077 | R²: 0.6191 | LR: 0.001000
Epoch  15/150 | Train: 1.7201 | Val: 1.2638 | R²: 0.6342 | LR: 0.001000
Epoch  16/150 | Train: 1.6960 | Val: 1.2238 | R²: 0.6443 | LR: 0.001000
Epoch  17/150 | Train: 1.6075 | Val: 1.1355 | R²: 0.6717 | LR: 0.001000
Epoch  18/150 | Train: 1.5436 | Val: 1.1254 | R²: 0.6760 | LR: 0.001000
Epoch  19/150 | Train: 1.5454 | Val: 1.0689 | R²: 0.6891 | LR: 0.001000
Epoch  20/150 | Train: 1.5486 | Val: 1.0385 | R²: 0.6983 | LR: 0.001000
Epoch  21/150 | Train: 1.4517 | Val: 1.0290 | R²: 0.6986 | LR: 0.001000
Epoch  22/150 | Train: 1.3489 | Val: 1.0082 | R²: 0.7084 | LR: 0.001000
Epoch  23/150 | Train: 1.3062 | Val: 0.9788 | R²: 0.7181 | LR: 0.001000
Epoch  24/150 | Train: 1.2685 | Val: 0.9531 | R²: 0.7236 | LR: 0.001000
Epoch  25/150 | Train: 1.2529 | Val: 0.9209 | R²: 0.7335 | LR: 0.001000
Epoch  26/150 | Train: 1.2070 | Val: 0.9376 | R²: 0.7350 | LR: 0.001000
Epoch  27/150 | Train: 1.1579 | Val: 0.9105 | R²: 0.7458 | LR: 0.001000
Epoch  28/150 | Train: 1.1228 | Val: 0.8811 | R²: 0.7452 | LR: 0.001000
Epoch  29/150 | Train: 1.1573 | Val: 0.8466 | R²: 0.7505 | LR: 0.001000
Epoch  30/150 | Train: 1.0797 | Val: 0.8378 | R²: 0.7573 | LR: 0.001000
Epoch  31/150 | Train: 1.0551 | Val: 0.8131 | R²: 0.7638 | LR: 0.001000
Epoch  32/150 | Train: 1.0380 | Val: 0.8345 | R²: 0.7584 | LR: 0.001000
Epoch  33/150 | Train: 1.0041 | Val: 0.8203 | R²: 0.7654 | LR: 0.001000
Epoch  34/150 | Train: 0.9800 | Val: 0.8360 | R²: 0.7612 | LR: 0.001000
Epoch  35/150 | Train: 0.9662 | Val: 0.7955 | R²: 0.7726 | LR: 0.001000
Epoch  36/150 | Train: 0.9407 | Val: 0.7695 | R²: 0.7740 | LR: 0.001000
